user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
D_bin_60660	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum;s__Mucispirillum sp937890655	GCA_937890655.1	95.0	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum;s__Mucispirillum sp937890655	99.49	0.91	GCA_937890655.1	95.0	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum;s__Mucispirillum sp937890655	99.49	0.91	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_944324495.1, s__Mucispirillum sp944324495, 95.0, 79.58, 0.151; GCA_949287985.1, s__Mucispirillum schaedleri_A, 95.0, 79.44, 0.154	94.56	11	N/A	N/A
D_bin_71950	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Faecalimicrobium;s__Faecalimicrobium sp937907205	GCA_937907205.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Faecalimicrobium;s__Faecalimicrobium sp937907205	96.89	0.771	GCA_937907205.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Faecalimicrobium;s__Faecalimicrobium sp937907205	96.89	0.771	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Faecalimicrobium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_017590215.1, s__Faecalimicrobium sp017590215, 95.0, 83.28, 0.248; GCF_000499525.1, s__Faecalimicrobium dakarense, 95.0, 83.06, 0.226	72.12	11	N/A	N/A
D_bin_72949	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Canicola;s__	N/A	N/A	N/A	N/A	N/A	GCF_002015075.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Canicola;s__Canicola haemoglobinophilus	89.97	0.665	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Canicola;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	98.39	11	0.98233	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
D_bin_75949	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp900541335	GCA_900541335.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp900541335	98.45	0.911	GCA_900541335.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp900541335	98.45	0.911	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	95.23	11	N/A	N/A
D_bin_78273	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus agilis	GCF_001436215.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus agilis	97.82	0.86	GCF_001436215.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus agilis	97.82	0.86	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	93.55	11	N/A	N/A
D_bin_78969	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp000437675	GCA_000437675.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp000437675	98.96	0.906	GCA_000437675.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp000437675	98.96	0.906	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	92.06	11	N/A	N/A
D_bin_92702	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	GCF_000013285.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	97.21	0.82	GCF_000013285.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	97.21	0.82	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_029258205.1, s__Sarcina sp029258205, 95.0, 92.88, 0.681; GCF_029267215.1, s__Sarcina sp029267215, 95.0, 86.55, 0.245	85.78	11	N/A	N/A
D_bin_96977	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri	GCF_000016825.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri	97.65	0.835	GCF_000016825.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri	97.65	0.835	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_012971035.1, s__Limosilactobacillus reuteri_G, 95.0, 95.4, 0.763; GCF_020784195.1, s__Limosilactobacillus reuteri_H, 95.0, 95.27, 0.816; GCF_002254085.1, s__Limosilactobacillus rodentium, 95.0, 94.9, 0.803; GCF_013694365.1, s__Limosilactobacillus reuteri_E, 95.0, 94.71, 0.63; GCF_003072625.1, s__Limosilactobacillus reuteri_D, 95.0, 94.35, 0.772; GCF_020784725.1, s__Limosilactobacillus reuteri_F, 95.0, 93.81, 0.772; GCA_946487795.1, s__Limosilactobacillus sp946487795, 95.0, 93.45, 0.524; GCF_014145615.1, s__Limosilactobacillus balticus, 95.0, 93.42, 0.764; GCF_014145585.1, s__Limosilactobacillus agrestis, 95.0, 90.07, 0.653; GCF_021168615.1, s__Limosilactobacillus albertensis, 95.0, 84.59, 0.351; GCF_014635905.1, s__Limosilactobacillus caviae, 95.0, 84.15, 0.332; GCF_014830205.1, s__Limosilactobacillus walteri, 95.0, 82.54, 0.248; GCF_014145455.1, s__Limosilactobacillus rudii, 95.0, 81.77, 0.206	93.8	11	N/A	N/A
F_bin_10249	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp937890525	GCA_937890525.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp937890525	97.45	0.863	GCA_937890525.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp937890525	97.45	0.863	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	89.1	11	N/A	N/A
F_bin_110336	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Avimicrobium;s__Avimicrobium sp934845495	GCA_934845495.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Avimicrobium;s__Avimicrobium sp934845495	98.49	0.933	GCA_934845495.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Avimicrobium;s__Avimicrobium sp934845495	98.49	0.933	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Avimicrobium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_904394705.1, s__Avimicrobium caecorum, 95.0, 87.02, 0.563	91.8	11	N/A	N/A
F_bin_111505	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_B;s__Dorea_B phocaeensis	GCF_900240315.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_B;s__Dorea_B phocaeensis	98.46	0.902	GCF_900240315.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_B;s__Dorea_B phocaeensis	98.46	0.902	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	74.54	11	N/A	Genome has more than 11.7% of markers with multiple hits
F_bin_111749	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__Butyricicoccus pullicaecorum_C	GCA_018366195.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__Butyricicoccus pullicaecorum_C	99.23	0.936	GCA_018366195.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__Butyricicoccus pullicaecorum_C	99.23	0.936	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_018365995.1, s__Butyricicoccus pullicaecorum_B, 95.0, 89.86, 0.779; GCA_018366035.1, s__Butyricicoccus pullicaecorum_A, 95.0, 89.59, 0.76	95.13	11	N/A	N/A
F_bin_111964	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp900753905	GCA_905200905.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp900753905	98.93	0.794	GCA_905200905.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp900753905	98.93	0.794	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_902363515.1, s__Blautia sp000432195, 95.0, 88.53, 0.597; GCA_958352855.1, s__Blautia sp958352855, 95.0, 86.53, 0.501; GCA_900556555.1, s__Blautia sp900556555, 95.0, 84.71, 0.174; GCF_947654165.1, s__Blautia sp947654165, 95.0, 83.89, 0.221	76.17	11	N/A	N/A
F_bin_115099	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella hominis	GCF_014306155.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella hominis	98.88	0.846	GCF_014306155.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella hominis	98.88	0.846	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_024460475.1, s__Holdemanella sp900556915, 95.0, 95.46, 0.703; GCF_009696075.1, s__Holdemanella porci, 95.95, 95.28, 0.725; GCA_003436425.1, s__Holdemanella sp003436425, 95.0, 93.19, 0.701; GCF_934772795.1, s__Holdemanella sp934772795, 95.0, 91.68, 0.642; GCF_000156655.1, s__Holdemanella biformis, 95.0, 90.75, 0.616; GCA_938036765.1, s__Holdemanella sp900547815, 95.0, 90.0, 0.599; GCF_934754935.1, s__Holdemanella sp934754935, 95.0, 89.33, 0.596; GCF_900754615.1, s__Holdemanella sp900754615, 95.0, 88.58, 0.585; GCF_003458715.1, s__Holdemanella sp003458715, 95.0, 88.38, 0.554	79.19	11	N/A	N/A
F_bin_11658	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gallinarum	GCF_001434975.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gallinarum	98.77	0.762	GCF_001434975.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gallinarum	98.77	0.762	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_946579245.1, s__Lactobacillus sp946579245, 95.0, 95.34, 0.305; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 92.57, 0.564; GCF_000160855.1, s__Lactobacillus helveticus, 95.0, 89.82, 0.521; GCF_002706375.1, s__Lactobacillus amylovorus, 95.0, 84.96, 0.269; GCF_000615285.1, s__Lactobacillus kitasatonis, 95.0, 83.94, 0.264; GCF_902491705.1, s__Lactobacillus sp902491705, 95.0, 83.07, 0.231; GCF_001436305.1, s__Lactobacillus ultunensis, 95.0, 83.0, 0.235; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 82.81, 0.222; GCF_001591845.1, s__Lactobacillus acidophilus, 95.0, 82.66, 0.22; GCF_900103655.1, s__Lactobacillus kefiranofaciens, 95.0, 82.27, 0.198; GCF_018987235.1, s__Lactobacillus crispatus, 95.0, 82.09, 0.201	69.49	11	N/A	N/A
F_bin_116764	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Cetobacterium_A;s__Cetobacterium_A sp934085975	GCA_934085975.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Cetobacterium_A;s__Cetobacterium_A sp934085975	97.83	0.934	GCA_934085975.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Cetobacterium_A;s__Cetobacterium_A sp934085975	97.83	0.934	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Cetobacterium_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_022430525.1, s__Cetobacterium_A sp905216205, 95.0, 87.14, 0.603; GCF_947038635.1, s__Cetobacterium_A sp947038635, 95.0, 86.46, 0.502; GCF_000479045.1, s__Cetobacterium_A somerae, 95.0, 86.29, 0.597; GCF_024506395.1, s__Cetobacterium_A somerae_A, 95.0, 84.99, 0.482; GCF_000799075.1, s__Cetobacterium_A sp000799075, 95.0, 81.85, 0.271; GCF_945952365.1, s__Cetobacterium_A sp945952365, 95.0, 81.31, 0.27; GCA_002428805.1, s__Cetobacterium_A sp002428805, 95.0, 81.2, 0.203; GCF_014250675.1, s__Cetobacterium_A sp014250675, 95.0, 80.87, 0.188; GCF_947072685.1, s__Cetobacterium_A sp947072685, 95.0, 79.49, 0.177	92.99	11	N/A	N/A
F_bin_117901	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	90.51	11	0.92362	N/A
F_bin_118177	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__CALVGN01;s__CALVGN01 sp937900565	GCA_937900565.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__CALVGN01;s__CALVGN01 sp937900565	98.67	0.888	GCA_937900565.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__CALVGN01;s__CALVGN01 sp937900565	98.67	0.888	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__CALVGN01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	91.14	11	N/A	N/A
F_bin_119699	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Acholeplasmatales;f__Anaeroplasmataceae;g__CALUXS01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Acholeplasmatales;f__Anaeroplasmataceae;g__CALUXS01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	88.86	11	0.85194	N/A
