ID	accession	gtdb_taxonomy	checkm2_completeness	checkm2_contamination	genome_size	gc_percentage	n50_contigs	contig_count	ncbi_biosample	isolation_source_x	country	mimag_high_quality	mimag_medium_quality	gtdb_representative	ncbi_genbank_assembly_accession	BioSample	ENA first public	ENA last update	ENA-CHECKLIST	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	External Id	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	MLST_type	SRA_BioSample	Submitter Id	altitude	assembly	assembly quality	assembly software	assembly_method	assembly_method_version	binning parameters	binning software	biomaterial_provider	biotic_relationship	broker name	collected_by	collection_date	common name	completeness score	completeness software	completeness_estimated	contamination score	contamination_estimated	culture_collection	depth	derived_from	env_broad_scale	env_local_scale	env_medium	env_package	environmental-sample	environmental_sample	estimated_size	extrachrom_elements	finishing strategy (depth of coverage)	genome_coverage	genome_name	genotype	geo_loc_name	geographic location (latitude)	geographic location (longitude)	host	host-associated environmental package	host_age	host_body_habitat	host_body_product	host_description	host_diet	host_disease	host_disease_outcome	host_disease_stage	host_genotype	host_health_state	host_phenotype	host_sex	host_subject_id	host_taxid	host_tissue_sampled	identified_by	investigation_type	isol_growth_condt	isolate	isolate host	isolation_source_y	lab_host	label	lat_lon	local environmental context	locus_tag_prefix	mapping_method	mapping_method_version	mating_type	metagenome_source	metagenomic	metagenomic source	misc_param: HMP body site	misc_param: HMP supersite	note	nucleic acid extraction	num_replicons	passage_history	pathotype	project_name	project_type	quality_assessment_method	quality_assessment_method_version	ref_biomaterial	rel_to_oxygen	samp_mat_process	samp_size	sample derived from	sample_name	sample_type	scientific_name	seq_id	sequencing method	serotype	serovar	sop	source_SRA	source_SRA_ bioproject	source_material_id	specimen_voucher	strain	subgroup	subtype	taxonomic classification	taxonomic identity marker	temp	value
GCA_022767805.1	GB_GCA_022767805.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.28	2854153	37.38804471939661	191825	29	SAMN26525352	feces	Canada: Lacombe	f	t	f	GCA_022767805.1	SAMN26525352															850 m												2019									This BioSample is a metagenomic assembly obtained from the Sus scrofa domesticus fecal metagenome BioSample SAMN17899601	not applicable	not applicable	not applicable		1								Canada:Lacombe			Sus scrofa domesticus			Rectum	Feces																SUG128		feces			52.4685 N 113.7307 W						pig gut metagenome	1																			metagenomic assembly																	
GCA_022790725.1	GB_GCA_022790725.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	99.99	0.09	2679549	37.55844733572702	117179	39	SAMN14274115	feces extracted directly from colon	USA: Knoxville; TN	f	t	f	GCA_022790725.1	SAMN14274115															missing												2017-11-22/2017-12-12									This BioSample is a metagenomic assembly obtained from the mouse gut metagenome BioSamples: SAMN14144348,SAMN14144349,SAMN14144350,SAMN14144351,SAMN14144352,SAMN14144353,SAMN14144354,SAMN14144355,SAMN14144356,SAMN14144357,SAMN14144358,SAMN14144359,SAMN14144360,SAMN14144361,SAMN14144362,SAMN14144363,SAMN14144364,SAMN14144365	environmental system determined by an organism[ENVO_01001000]|animal-associated environment[ENVO_01001002]	digestive tract[UBERON_0001555]|colon[UBERON_0001155]	fecal material[ENVO_00002003]		1								USA: Knoxville, TN			Mus musculus																				ABMPRH_9_1		feces extracted directly from colon			35.9396 N 83.9430 W						mouse gut metagenome	1																			metagenomic assembly																	
GCA_024160765.1	GB_GCA_024160765.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	99.99	0.76	3117663	37.16695419438072	20916	471	SAMN29204657	feces	Italy	t	f	f	GCA_024160765.1	SAMN29204657																										"Istituto Zooprofilattico Sperimentale dell'Umbria e delle Marche ""Togo Rosati"""	2020																						Italy			swine																						feces																													Bacterial strain											S232						
GCA_028131945.1	GB_GCA_028131945.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	99.72	2.69	3636097	37.14466363246085	3531345	3	SAMD00520113	feces	Japan	t	f	f	GCA_028131945.1	SAMD00520113																										missing	2018																						Japan:Fukuoka, Kitakyushu			Homo sapiens							missing													missing		missing			missing		EfsSVR2331																							SVR2331												SVR2331						
GCA_029851725.1	GB_GCA_029851725.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	99.99	0.25	2578755	37.69357693925945	286206	18	SAMN30622054	fecal swab male ferret; 6.3 years old	USA: Colorado	f	t	f	GCA_029851725.1	SAMN30622054																											2021-07									SAMN30604159	Domestic ferret (Mustela putorius)	male ferret, 6.3 years old	fecal swabs		1								USA: Colorado			Mustela putorius																				MP_MU_3_bin.4		fecal swab male ferret, 6.3 years old			40.5853 N 105.0844 W						gut metagenome	1																			metagenomic assembly																	
GCA_905212305.1	GB_GCA_905212305.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	99.99	0.36	2652184	37.5967504517032	101923	49	SAMEA7847698	human gut	none	f	t	f	GCA_905212305.1	SAMEA7847698	2021-01-23	2021-01-21	ERC000047			SAMEA7847698	EMG	EMG	2021-01-23T17:08:37Z	2021-01-21T23:12:03Z	public			ERR414353-bin.31			Many fragments with little to no review of assembly other than reporting of standard assembly statistics	spades_v3.11.1			default	MetaWRAP v1.1			EMG broker account, EMBL-EBI		not provided		99.62	CheckM v1.0.11		0.00					human-associated habitat	human gut	faeces										Spain	not provided	not provided																			metagenome-assembled genome				human gut											human gut metagenome								Human gut MAGs								ERS396403	ERR414353-bin.31				Illumina HiSeq 2000												multi-marker approach		
GCA_938027185.1	GB_GCA_938027185.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.17	2968562	37.235065327926456	494422	10	SAMEA14085768	human gut metagenome	none	t	f	f	GCA_938027185.1	SAMEA14085768			ERC000047	2023-01-03	2023-01-03	SAMEA14085768	EBI	European Bioinformatics Institute	2023-01-03T00:33:32Z	2023-01-03T00:33:32Z	public			SRR492196_bin.19_CONCOCT_v1.1_MAG			Multiple fragments where gaps span repetitive regions. Presence of the 23S, 16S, and 5S rRNA genes and at least 18 tRNAs	metaSPAdes version 3.10.139			Default	CONCOCT v1.1			EMG broker account, EMBL-EBI		not provided		99.63	CheckM		0.0					Host-associated	Human	Digestive system										not provided	not provided	not provided																			metagenome-assembled genome				human gut metagenome											human gut metagenome								Stool sample from a premature human infant (UC1). &lt;p&gt; This study used metagenomic methods (community genomic analysis and sequencing of amplified 16S rRNA genes) to document microbial colonization of the gut of a premature infant born at 28 weeks gestation. Analysis of 16S rRNA gene sequences collected approximately daily revealed three compositional phases during colonization. We reconstructed genomes of the dominant organisms and intensively curated population genomic datasets from the third phase. In the third phase, the communities were dominated by a nearly clonal Serratia population, two Citrobacter strains sharing &gt;99% nucleotide identity, and contained a lower abundance Enterococcus population, multiple plasmids and bacteriophage. The relative abundance of the Citrobacter strains changed significantly over time. Modeling of Citrobacter strain abundances suggests differences in growth rates and/or host colonization patterns. We identified genotypic variation potentially responsible for divergent strain ecologies, including hotspots of sequence variation in regulatory genes and intergenic regions, and in genes involved in transport, flagellar biosynthesis, substrate metabolism, and host colonization, as well as differences in the complements of these genes. Our results demonstrate that a community genomic approach can elucidate gut microbial colonization at the resolution required to discern medically relevant strain and species population dynamics, and hence improve our ability to diagnose and treat microbial community-mediated disorders.								SAMN00990124	SRR492196_bin.19_CONCOCT_v1.1_MAG		Enterococcus faecalis		Illumina HiSeq 2000												multi-marker approach		
GCA_946402685.1	GB_GCA_946402685.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	99.99	0.05	2667320	37.5921149318417	129964	40	SAMEA110666309	mouse gut metagenome	none	f	t	f	GCA_946402685.1	SAMEA110666309			ERC000047	2022-08-16	2022-08-16	SAMEA110666309	EMG	EMG	2022-08-16T20:15:17Z	2022-08-16T20:15:17Z	public			SRR12377475_bin.21_metawrap_v1.3_MAG			Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes v3.15.3			MaxBin2, MetaBat2, Concoct with default parameter of the metaWRAP pipeline. Bin refinement module used from metaWRAP with default parameters.	metawrap v1.3			EMG broker account, EMBL-EBI		not provided		99.63	CheckM		0.0					Mouse digestive system		cecum										not provided	not provided	not provided																			metagenome-assembled genome				mouse gut metagenome				Digestive tube							mouse gut metagenome								Extracellular vesicles (EVs) in bovine milk alter bacterial communities in the murine cecum, thereby implicating dietary EVs in cross-kingdom communication. Here we use metagenomics analysis to demonstrate that milk EVs contribute to the speciation of gut bacteria through the selection of genetic variations.								SAMN15717193	SRR12377475_bin.21_metawrap_v1.3_MAG				NextSeq 500											The taxonomy of this metagenome-assembled genome was originally computed with GTDBtk, which assigned the following taxonomic annotation: d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	multi-marker approach		
GCA_946891435.1	GB_GCA_946891435.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	99.99	0.21	2670419	37.569534968108	152511	55	SAMEA111346131	vaginal metagenome	none	f	t	f	GCA_946891435.1	SAMEA111346131			ERC000047	2022-09-12	2022-09-12	SAMEA111346131	EMG	EMG	2022-09-12T16:20:53Z	2022-09-12T16:20:53Z	public			SRR12830915_bin.1_metaWRAP_v1.3_MAG			Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes v3.15.3			MaxBin2, MetaBat2, Concoct with default parameter of the metaWRAP pipeline. Bin refinement module used from metaWRAP with default parameters.	metaWRAP v1.3			EMG broker account, EMBL-EBI		not provided		99.63	CheckM		0.0					Human reproductive system		Vagina										not provided	not provided	not provided																			metagenome-assembled genome				vaginal metagenome				Vagina							vaginal metagenome								WGS was conducted on DNA obtained from 20 vaginal swabs collected at four-time points over a period of 12 months from five randomly selected African-American (AA) women. The baseline visit (first-time point) included all women who were diagnosed with asymptomatic BV and were untreated. All subjects were tested subsequently once every two months and received a course of metronidazole for each episode of BV during the 12 months period.								SAMN16449332	SRR12830915_bin.1_metaWRAP_v1.3_MAG		Enterococcus faecalis		Illumina HiSeq 1500											The taxonomy of this metagenome-assembled genome was originally computed with GTDBtk, which assigned the following taxonomic annotation: d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	multi-marker approach		
GCA_947058585.1	GB_GCA_947058585.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.16	2726841	37.66849625629071	23628	159	SAMEA111463753	mouse gut metagenome	none	f	t	f	GCA_947058585.1	SAMEA111463753			ERC000047	2022-10-13T12:29:00Z	2022-10-13T12:29:00Z	SAMEA111463753		EMG	2022-10-13T12:29:00Z	2022-10-13T12:29:00Z	public			ERR899300_bin.55_metawrap_v1.3_MAG			Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes v3.15.3			MaxBin2, MetaBat2, Concoct with default parameter of the metaWRAP pipeline. Bin refinement module used from metaWRAP with default parameters.	metawrap v1.3			EBI-EMG		not provided		99.63	CheckM		0.12					mouse digestive system		feces										not provided	not provided	not provided																			metagenome-assembled genome				mouse gut metagenome				digestive tube							mouse gut metagenome								The gut microbiome is significantly altered in inflammatory bowel diseases, but the basis of these changes is not well understood. We have combined metagenomic and metatranscriptomic profiling of the gut microbiome to assess changes to both bacterial community structure and transcriptional activity in a mouse model of colitis. Gene families involved in microbial resistance to oxidative stress, including Dps/ferritin, Fe-dependent peroxidase and glutathione S-transferase, were transcriptionally up-regulated in colitis, implicating a role for increased oxygen tension in gut microbiota modulation. Transcriptional profiling of the host gut tissue and host RNA in the gut lumen revealed a marked increase in the transcription of genes with an activated macrophage and granulocyte signature, suggesting the involvement of these cell types in influencing microbial gene expression. Down-regulation of host glycosylation genes further supports a role for inflammation-driven changes to the gut niche that may impact the microbiome. We propose that members of the bacterial community react to inflammation-associated increased oxygen tension by inducing genes involved in oxidative stress resistance. Furthermore, correlated transcriptional responses between host glycosylation and bacterial glycan utilisation support a role for altered usage of host-derived carbohydrates in colitis.								SAMEA3403108	ERR899300_bin.55_metawrap_v1.3_MAG		Enterococcus faecalis		Illumina HiSeq 2000											The taxonomy of this metagenome-assembled genome was originally computed with GTDBtk, which assigned the following taxonomic annotation: d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	multi-marker approach		
GCA_947239845.1	GB_GCA_947239845.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.11	2713133	37.649020523505484	370071	15	SAMEA111520031	mouse gut metagenome	none	f	t	f	GCA_947239845.1	SAMEA111520031			ERC000047	2022-10-27	2022-10-27	SAMEA111520031	EMG	EMG	2022-10-27T00:21:37Z	2022-10-27T00:21:37Z	public			SRR18825446_bin.4_metawrap_v1.3_MAG			Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes v3.15.3			MaxBin2, MetaBat2, Concoct with default parameter of the metaWRAP pipeline. Bin refinement module used from metaWRAP with default parameters.	metawrap v1.3			EMG broker account, EMBL-EBI		2020-01-01		99.63	CheckM		0.0					mouse digestive system		feces										Ireland	53.4129	-8.2439																			metagenome-assembled genome				mouse gut metagenome				digestive tube							mouse gut metagenome								Impact of a phage cocktail targeting Escherichia coli and Enterococcus faecalis as members of a gut bacterial consortium in vitro and in vivo								SAMN27646424	SRR18825446_bin.4_metawrap_v1.3_MAG				Illumina NovaSeq 6000											The taxonomy of this metagenome-assembled genome was originally computed with GTDBtk, which assigned the following taxonomic annotation: d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	multi-marker approach		
GCA_947254475.1	GB_GCA_947254475.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.09	2784748	37.474414201931374	133011	39	SAMEA111539296	vaginal metagenome	none	f	t	f	GCA_947254475.1	SAMEA111539296			ERC000047	2022-11-02	2022-11-02	SAMEA111539296	EMG	EMG	2022-11-02T04:23:13Z	2022-11-02T04:23:13Z	public			SRR17635754_bin.1_metaWRAP_v1.3_MAG			Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes v3.15.3			MaxBin2, MetaBat2, Concoct with default parameter of the metaWRAP pipeline. Bin refinement module used from metaWRAP with default parameters.	metaWRAP v1.3			EMG broker account, EMBL-EBI		2008-01-01		99.63	CheckM		0.0					Human reproductive system		Vagina										USA	39.2904	-76.6122																			metagenome-assembled genome				vaginal metagenome				Vagina							vaginal metagenome								The overarching goal of the VMRC is to identify correlates of stability and resilience in the vaginal microbiota and leverage these features to devise a framework for an intervention to maintain/restore vaginal health.								SAMN25037526	SRR17635754_bin.1_metaWRAP_v1.3_MAG				Illumina HiSeq 4000											The taxonomy of this metagenome-assembled genome was originally computed with GTDBtk, which assigned the following taxonomic annotation: d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	multi-marker approach		
GCA_947256725.1	GB_GCA_947256725.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	99.99	0.11	2856343	37.29096960694147	101628	42	SAMEA111545434	mouse gut metagenome	none	f	t	f	GCA_947256725.1	SAMEA111545434			ERC000047	2022-11-14	2022-11-14	SAMEA111545434	EMG	EMG	2022-11-14T15:53:18Z	2022-11-14T15:53:18Z	public			SRR19539205_bin.1_metawrap_v1.3_MAG			Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes v3.15.3			MaxBin2, MetaBat2, Concoct with default parameter of the metaWRAP pipeline. Bin refinement module used from metaWRAP with default parameters.	metawrap v1.3			EMG broker account, EMBL-EBI		2021-10-01		99.63	CheckM		0.0					mouse digestive system		feces										USA	not provided	not provided																			metagenome-assembled genome				mouse gut metagenome				digestive tube							mouse gut metagenome								The goal of this study was to determine how age-related differences in gut metagenomes influenced the risk of sepsis in a mouse model								SAMN28860875	SRR19539205_bin.1_metawrap_v1.3_MAG				NextSeq 550											The taxonomy of this metagenome-assembled genome was originally computed with GTDBtk, which assigned the following taxonomic annotation: d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	multi-marker approach		
GCA_947566355.1	GB_GCA_947566355.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	99.96	1.15	3012911	36.934114549019206	23228	187	SAMEA112227885	mouse gut metagenome	none	f	t	f	GCA_947566355.1	SAMEA112227885			ERC000047	2022-12-12	2022-12-12	SAMEA112227885	EMG	EMG	2022-12-12T20:27:53Z	2022-12-12T20:27:53Z	public			SRR13428092_bin.10_metawrap_v1.3_MAG			Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes v3.15.3			MaxBin2, MetaBat2, Concoct with default parameter of the metaWRAP pipeline. Bin refinement module used from metaWRAP with default parameters.	metawrap v1.3			EMG broker account, EMBL-EBI		2019-09-30		99.06	CheckM		0.43					mouse digestive system		feces										Luxembourg	not provided	not provided																			metagenome-assembled genome				mouse gut metagenome				digestive tube							mouse gut metagenome								The emergence and spread of antimicrobial resistance (AMR) represent an ever-growing healthcare challenge worldwide. Nevertheless, the mechanisms and time-scales shaping this resistome remain elusive. Here, using a cocktail of antibiotics administered to a murine model over a single generation along with a detailed, longitudinal sampling strategy, we identify the mechanisms by which gut commensals acquire AMR within a single generation. While the majority of the resident bacterial populations are depleted due to the treatment, Akkermansia muciniphila and members of the Lachnospiraceae family develop resistance and remain recalcitrant. We identify specific genes conferring resistance against the antibiotic cocktail in the corresponding metagenome-assembled genomes (MAGs), and trace their origins within each genome. While mobile genetic elements (MGEs), including plasmids and phages, contribute to the spread of AMR, we observe that integrons represent the primary factors mediating AMR in the antibiotic-treated mice. Our findings suggest that antibiotic treatment alone may act as the selective pressure driving AMR acquisition and incidence in gut commensals on a generational timescale.								SAMN17307580	SRR13428092_bin.10_metawrap_v1.3_MAG				NextSeq 500											The taxonomy of this metagenome-assembled genome was originally computed with GTDBtk, which assigned the following taxonomic annotation: d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	multi-marker approach		
