ID	accession	gtdb_taxonomy	checkm2_completeness	checkm2_contamination	genome_size	gc_percentage	n50_contigs	contig_count	ncbi_biosample	isolation_source_x	country	mimag_high_quality	mimag_medium_quality	gtdb_representative	ncbi_genbank_assembly_accession	BioSample	ENA first public	ENA last update	ENA-CHECKLIST	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	External Id	GTDB_taxonomy	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	Submitter Id	altitude	altitute	anonymized name	assembly quality	assembly software	assembly_method	assembly_method_version	binning parameters	binning software	biomaterial_provider	broker name	checkm_completeness	checkm_contamination	collected_by	collection_date	common name	completeness score	completeness software	completeness_estimated	contamination score	contamination_estimated	contigs	culture_collection	depth	derived_from	env_broad_scale	env_local_scale	env_medium	environmental-sample	environmental_sample	ethnicity	genome_coverage	genome_name	genotype	geo_loc_name	geographic location (latitude)	geographic location (longitude)	host	host-associated environmental package	host_body_habitat	host_body_product	host_health_state	host_taxid	host_tissue_sampled	identified_by	investigation_type	isol_growth_condt	isolate	isolation_source_y	lab_host	lat_lon	length	local environmental context	locus_tag_prefix	mapping_method	mapping_method_version	mating_type	metagenome_source	metagenomic	metagenomic source	note	num_replicons	passage_history	project_name	quality_assessment_method	quality_assessment_method_version	ref_biomaterial	rel_to_oxygen	samp_size	sample derived from	sample_name	sample_type	scientific_name	seq_id	sequencing method	serotype	serovar	source_material_id	specimen_voucher	strain	subsrc_note	substrate	supplier_name	taxonomic classification	taxonomic identity marker	temp	value
GCA_017851235.1	GB_GCA_017851235.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.98	0.88	5159636	45.98533695012594	66734	164	SAMN17614262	feces; 2 single-cells amplified by MDA combined with human gut metagenome reads	Japan	t	f	f	GCA_017851235.1	SAMN17614262																												2020-05-26										This BioSample is a metagenomic assembly obtained from individual single cells combined with human gut metagenome BioSamples: SAMN17601415,SAMN17601341,SAMN17320321	fecal environment	fecal environment	feces	1						Japan			Homo sapiens										BBSGM-G01-113	feces; 2 single-cells amplified by MDA combined with human gut metagenome reads		35.6969371 N 139.7190195 E							human gut metagenome	1													metagenomic assembly															
GCA_018375315.1	GB_GCA_018375315.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	98.64	0.3	4418282	46.45389316480931	228273	41	SAMN17801412	infant feces	USA: Pittsburgh; Magee-Womens Hospital of UPMC	f	t	f	GCA_018375315.1	SAMN17801412																												2016/2019										This BioSample is a metagenomic assembly obtained from the human gut metagenome BioSample: SAMN17763915	feces	infant	feces	1				Bacteroides_uniformis_dasL2_040_225G1_metabat.metabat.20.fa.fa		USA: Pittsburgh, Magee-Womens Hospital of UPMC			Homo sapiens										L2_040_225G1_dasL2_040_225G1_metabat.metabat.20	infant feces		40.4308 N 79.9598 W							human gut metagenome	1													metagenomic assembly															
GCA_018382075.1	GB_GCA_018382075.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.97	0.09	4540922	46.534426268497896	147251	62	SAMN17801079	infant feces	USA: Pittsburgh; Magee-Womens Hospital of UPMC	f	t	f	GCA_018382075.1	SAMN17801079																												2016/2019										This BioSample is a metagenomic assembly obtained from the human gut metagenome BioSample: SAMN17763855	feces	infant	feces	1				Bacteroides_uniformis_dasL2_026_030G1_concoct_3.fa		USA: Pittsburgh, Magee-Womens Hospital of UPMC			Homo sapiens										L2_026_030G1_dasL2_026_030G1_concoct_3	infant feces		40.4308 N 79.9598 W							human gut metagenome	1													metagenomic assembly															
GCA_021204305.1	GB_GCA_021204305.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	93.05	0.12	4073915	47.49861657565772	14455	412	SAMN21364611	feces	Australia: Boho South; VIC	f	t	f	GCA_021204305.1	SAMN21364611																												2016-06-25										SAMN20355229	forest biome	mammalia-associated habitat	faeces	1						Australia: Boho South, VIC			Phascolarctos cinereus										BH.2_6	feces		36.47 S 145.47 E							gut metagenome	1													metagenomic assembly															
GCA_022772765.1	GB_GCA_022772765.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	95.34	0.25	3869157	46.8965461985647	38321	175	SAMN26525693	feces	Canada: Lacombe	f	t	f	GCA_022772765.1	SAMN26525693														850 m														2019										This BioSample is a metagenomic assembly obtained from the Sus scrofa domesticus fecal metagenome BioSample SAMN17899639	not applicable	not applicable	not applicable	1						Canada:Lacombe			Sus scrofa domesticus		Rectum	Feces							SUG469	feces		52.4685 N 113.7307 W							pig gut metagenome	1													metagenomic assembly															
GCA_022784345.1	GB_GCA_022784345.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	97.95	0.34	4215678	46.42114506848009	168557	56	SAMN26927328	feces	Canada: Lacombe	f	t	f	GCA_022784345.1	SAMN26927328														850 m														2019										This BioSample is a metagenomic assembly obtained from the Sus scrofa domesticus fecal metagenome BioSample SAMN17899747	not applicable	not applicable	not applicable	1						Canada:Lacombe			Sus scrofa domesticus		Rectum	Feces							SUG1002	feces		52.4685 N 113.7307 W							pig gut metagenome	1													metagenomic assembly															
GCA_022786725.1	GB_GCA_022786725.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	96.85	0.16	4189991	46.47162726602516	137125	48	SAMN26927398	feces	Canada: Lacombe	f	t	f	GCA_022786725.1	SAMN26927398														850 m														2019										This BioSample is a metagenomic assembly obtained from the Sus scrofa domesticus fecal metagenome BioSample SAMN17899767	not applicable	not applicable	not applicable	1						Canada:Lacombe			Sus scrofa domesticus		Rectum	Feces							SUG1072	feces		52.4685 N 113.7307 W							pig gut metagenome	1													metagenomic assembly															
GCA_023708545.1	GB_GCA_023708545.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.98	1.3	4853092	46.61766148261768	61003	224	SAMD00471741	fecal samples	Japan	f	t	f	GCA_023708545.1	SAMD00471741																												2021-08-01											not applicable	not applicable	not applicable			Japanese				not applicable													not applicable	fecal samples		not applicable							human gut metagenome													JMAG_GENOME_1573							Metagenome assembled genome from Japanese gut-JMAG_GENOME_1573									
GCA_023708685.1	GB_GCA_023708685.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	95.65	0.81	4006854	46.53334012170146	79313	144	SAMD00474068	fecal samples	Japan	t	f	f	GCA_023708685.1	SAMD00474068																												2021-08-01											not applicable	not applicable	not applicable			Japanese				not applicable													not applicable	fecal samples		not applicable							human gut metagenome													JMAG_GENOME_3900							Metagenome assembled genome from Japanese gut-JMAG_GENOME_3900									
GCA_023709045.1	GB_GCA_023709045.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.93	3.36	4847671	46.70234428037711	88135	132	SAMD00477470	fecal samples	Japan	t	f	f	GCA_023709045.1	SAMD00477470																												2021-08-01											not applicable	not applicable	not applicable			Japanese				not applicable													not applicable	fecal samples		not applicable							human gut metagenome													JMAG_GENOME_7302							Metagenome assembled genome from Japanese gut-JMAG_GENOME_7302									
GCA_025541875.1	GB_GCA_025541875.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	94.25	1.23	3876013	47.25004508503463	70682	86	SAMN18871323	fecal sample from a healthy donor for a colon model experiment; starting time	United Kingdom: Norwich	t	f	f	GCA_025541875.1	SAMN18871323																												2018-02-06										This BioSample is a metagenomic assembly obtained from the metagenome BioSamples: SAMN18754224,SAMN18754228,SAMN18754232,SAMN18754236,SAMN18754243	human gut microbiome	Not Applicable	Not Applicable	1						United Kingdom: Norwich			Homo sapiens										T0_METABAT__242	fecal sample from a healthy donor for a colon model experiment, starting time		52.62 N 1.29 E							human gut metagenome	1													metagenomic assembly										T0					
GCA_027668925.1	GB_GCA_027668925.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	94.74	5.14	4826959	46.31452224889418	92283	120	SAMN31809184	fecal material [ENVO:00002003]	China: Shenzhen	t	f	f	GCA_027668925.1	SAMN31809184																												2014-02-01											microbial community [PCO:1000004]	fecal material [ENVO:00002003]	fecal material [ENVO:00002003]							China: Shenzhen			Homo sapiens									not applicable				22.32 N 114.05 E											1					not applicable													AM54-10NS							
GCA_027671145.1	GB_GCA_027671145.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	91.12	3.5	4461687	46.76914745123936	31646	300	SAMN31809102	fecal material [ENVO:00002003]	China: Shenzhen	f	t	f	GCA_027671145.1	SAMN31809102																												2014-02-01											microbial community [PCO:1000004]	fecal material [ENVO:00002003]	fecal material [ENVO:00002003]							China: Shenzhen			Homo sapiens									not applicable				22.32 N 114.05 E											1					not applicable													AM26-29LB							
GCA_029984635.1	GB_GCA_029984635.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	93.47	0.29	3543048	46.723414416062106	34219	176	SAMN34353462	Anal Gland secretions	USA: California	f	t	f	GCA_029984635.1	SAMN34353462																												2021/2022										SAMN34353200, SAMN34353201, SAMN34353202, SAMN34353203, SAMN34353204, SAMN34353205, SAMN34353206, SAMN34353207, SAMN34353208, SAMN34353209, SAMN34353210, SAMN34353211, SAMN34353212, SAMN34353213, SAMN34353214, SAMN34353215, SAMN34353216, SAMN34353217, SAMN34353218, SAMN34353219, SAMN34353220, SAMN34353221, SAMN34353222, SAMN34353223, SAMN34353224, SAMN34353225, SAMN34353226, SAMN34353227, SAMN34353228, SAMN34353229, SAMN34353230	Anal Gland		Anal Gland secretions	1						USA: California			Felis catus (domestic cat)										bin-136	Anal Gland secretions		38.532 N 121.764 W							feline metagenome	1													metagenomic assembly															
GCA_030840115.1	GB_GCA_030840115.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	93.69	0.16	3844441	46.86985702212623	79241	84	SAMN36703612	feces	USA	f	t	f	GCA_030840115.1	SAMN36703612																												missing										SAMN35014950	Human Biome	Gut Microbiome	Gut	1						USA			Homo sapiens										N1153.20	feces		missing							human gut metagenome	1													metagenomic assembly															
GCA_030842045.1	GB_GCA_030842045.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	98.88	0.43	4413611	46.37819236901485	105713	77	SAMN36703802	feces	USA	f	t	f	GCA_030842045.1	SAMN36703802																												missing										SAMN35085399	Human Biome	Gut Microbiome	Gut	1						USA			Homo sapiens										N1171.14	feces		missing							human gut metagenome	1													metagenomic assembly															
GCA_030843765.1	GB_GCA_030843765.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.99	0.61	4919581	46.73162206293585	156171	69	SAMN36703712	feces	USA	f	t	f	GCA_030843765.1	SAMN36703712																												missing										SAMN35085370	Human Biome	Gut Microbiome	Gut	1						USA			Homo sapiens										N1164.4	feces		missing							human gut metagenome	1													metagenomic assembly															
GCA_030844725.1	GB_GCA_030844725.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	96.86	0.78	4253779	46.63168914040903	118498	53	SAMN36703663	feces	USA	f	t	f	GCA_030844725.1	SAMN36703663																												missing										SAMN35085280	Human Biome	Gut Microbiome	Gut	1						USA			Homo sapiens										N1157.12	feces		missing							human gut metagenome	1													metagenomic assembly															
GCA_905197615.1	GB_GCA_905197615.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.98	0.78	4672567	46.53966438576483	127663	87	SAMEA7848075	human gut	none	f	t	f	GCA_905197615.1	SAMEA7848075	2021-01-23	2021-01-21	ERC000047			SAMEA7848075		EMG	EMG	2021-01-23T04:12:02Z	2021-01-21T23:16:39Z	public	SRR413727-bin.26				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaspades_v3.12.0			default	MetaWRAP v1.1		EMG broker account, EMBL-EBI				not provided		99.25	CheckM v1.0.11		0.00						human-associated habitat	human gut	faeces							China	not provided	not provided									metagenome-assembled genome			human gut											human gut metagenome				Human gut MAGs						SRS294983	SRR413727-bin.26				Illumina Genome Analyzer II										multi-marker approach		
GCA_934829465.1	GB_GCA_934829465.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	93.98	0.67	4308439	46.62151701618652	130442	61	SAMEA13566040	human gut	none	f	t	f	GCA_934829465.1	SAMEA13566040			ERC000050	2022-07-28	2022-07-28	SAMEA13566040		UNIVERSITY OF NEW SOUTH WALES	UNIVERSITY OF NEW SOUTH WALES	2022-07-28T00:45:24Z	2022-07-28T00:45:24Z	public	MTG220_bin.14.fa					MetaWRAP;1.3.2			default	MetaWRAP;1.3.2						not provided											human-associated habitat	human gut	faeces							not provided	not provided	not provided									metagenome-assembled genome			human gut											human gut metagenome				Donor samples from Lyophilised oral faecal microbiota transplantation for ulcerative colitis (LOTUS) study shotgun						ERS10468702	MTG220_bin.14.fa				Illumina												
GCA_934834655.1	GB_GCA_934834655.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	92.0	0.71	4249016	46.72865958862096	76552	120	SAMEA13566293	human gut	none	f	t	f	GCA_934834655.1	SAMEA13566293			ERC000050	2022-07-28	2022-07-28	SAMEA13566293		UNIVERSITY OF NEW SOUTH WALES	UNIVERSITY OF NEW SOUTH WALES	2022-07-28T00:45:22Z	2022-07-28T00:45:22Z	public	MTG225_bin.6.fa					MetaWRAP;1.3.2			default	MetaWRAP;1.3.2						not provided											human-associated habitat	human gut	faeces							not provided	not provided	not provided									metagenome-assembled genome			human gut											human gut metagenome				Donor samples from Lyophilised oral faecal microbiota transplantation for ulcerative colitis (LOTUS) study shotgun						ERS10468697	MTG225_bin.6.fa				Illumina												
GCA_934834705.1	GB_GCA_934834705.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	91.97	0.96	4207062	46.62156155530867	135254	52	SAMEA13566634	human gut	none	f	t	f	GCA_934834705.1	SAMEA13566634			ERC000050	2022-07-28	2022-07-28	SAMEA13566634		UNIVERSITY OF NEW SOUTH WALES	UNIVERSITY OF NEW SOUTH WALES	2022-07-28T00:45:25Z	2022-07-28T00:45:25Z	public	MTG231_bin.43.fa					MetaWRAP;1.3.2			default	MetaWRAP;1.3.2						not provided											human-associated habitat	human gut	faeces							not provided	not provided	not provided									metagenome-assembled genome			human gut											human gut metagenome				Donor samples from Lyophilised oral faecal microbiota transplantation for ulcerative colitis (LOTUS) study shotgun						ERS10468691	MTG231_bin.43.fa				Illumina												
